SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2795138	270.50	387.60	1	1
2795139	270.80	387.20	1	1
2795140	270.90	387.20	1	1
2795141	272.00	387.20	1	1
2795142	274.80	387.20	1	1
2795143	278.50	387.10	1	1
2795144	283.40	386.70	1	1
2795145	288.60	386.30	1	1
2795146	295.10	386.00	1	1
2795147	301.80	385.50	1	1
2795148	310.40	384.90	1	1
2795149	319.60	384.30	1	1
2795150	328.80	383.60	1	1
2795151	336.60	381.90	1	1
2795152	344.70	380.20	1	1
2795153	352.70	378.90	1	1
2795154	360.70	378.30	1	1
2795155	367.60	376.60	1	1
2795156	374.20	375.00	1	1
2795157	379.60	373.10	1	1
2795158	384.30	372.30	1	1
2795159	388.80	370.60	1	1
2795160	392.40	369.50	1	1
2795161	394.80	368.50	1	1
2795162	396.20	368.50	1	1
2795163	397.30	368.40	1	1
2795164	398.00	368.40	1	1
2795165	398.00	368.60	0	1
2795166	398.00	368.70	0	1
2795167	399.40	368.80	0	1
2795168	401.20	368.00	0	1
2795169	404.30	367.00	0	1
2795170	405.80	365.50	0	1
2795171	407.00	364.80	0	1
2795172	406.80	364.10	0	1
2795173	406.50	364.10	0	1
2795174	406.90	364.10	0	1
2795175	407.50	363.70	0	1
2795176	407.90	363.30	0	1
2795177	407.70	363.00	0	1
2795178	407.30	363.50	0	1
2795179	407.00	363.80	0	1
2795180	406.60	364.00	0	1
2795181	406.40	364.70	0	1
2795182	406.80	365.70	0	1
2795183	407.50	366.70	0	1
2795184	408.10	367.00	0	1
2795185	408.70	367.00	0	1
2795186	409.30	367.00	0	1
2795187	409.30	367.20	0	1
2795188	408.70	367.30	0	0
2795189	408.00	367.10	0	0
2795190	408.60	366.70	0	0
2795191	409.60	366.30	0	0
2795192	410.50	366.20	0	0
2795193	410.90	366.00	0	0
2795194	411.00	365.80	0	0
2795195	410.40	366.00	0	0
2795196	409.70	366.40	0	0
2795197	409.20	366.90	0	0
2795198	408.80	367.10	0	0
2795199	408.50	367.20	0	0
2795200	408.10	367.30	0	0
2795201	408.30	366.70	0	0
2795202	408.20	366.10	0	0
